"Name","Latitude","Longitude","Category","Group","Time","Notes"
"HOTEL — Sophia Palace Vámház körút 2","47.48800","19.05800","Bed","Beds & Breakfast","","Fővám tér, District V. M4 at the door, Great Market Hall across the street, Liberty Bridge 100 m."
"FLAT — Mandlgasse 18 1120 Wien","48.18450","16.33350","Bed","Beds & Breakfast","","Meidling. U6 Niederhofstraße 250 m. Meidlinger Markt around the corner. Free weekend street parking."
"BREAKFAST — Great Market Hall","47.48733","19.05835","Breakfast","Beds & Breakfast","Fri 07:45","Mon 6-17, Tue-Fri 6-18, Sat 6-15, closed Sun. CLOSED Aug 20, open normally Aug 21. Bakery counters + lángos + coffee. MOSTLY CASH. ~6,000-9,000 HUF for three."
"BREAKFAST — Fakanál Étterem (market gallery)","47.48750","19.05870","Breakfast","Beds & Breakfast","09:00-11:00","Hot Hungarian breakfast, only air-conditioned spot in the hall. Eggs 2,100 Ft, coffee 1,200 Ft. ~9,900 Ft for three."
"BREAKFAST — Cafe Brunch Budapest Fővám tér 2-3","47.48690","19.05730","Breakfast","Beds & Breakfast","from 08:00","30 seconds from the hotel. All-day breakfast daily, terrace on Liberty Bridge. ~12,000-16,000 HUF for three."
"BREAKFAST — Kelet Kávézó Bartók Béla út 29","47.47960","19.04560","Breakfast","Beds & Breakfast","","The local option, 10 min over Liberty Bridge. Mains 2,000-4,000 HUF. Opens 07:30 weekdays, 09:00 weekends — check Aug 21."
"BREAKFAST — Ignaz & Rosalia Meidlinger Markt 37","48.18330","16.33290","Breakfast","Beds & Breakfast","08:00-12:00","Vienna answer both mornings. Sat 8-18, SUN 9-18 when all shops are shut. Order the Marktfrühstück. ~€35-50 for three."
"DINNER — Meidlinger Alm","48.18340","16.33300","Dinner","Beds & Breakfast","","Austrian hut food — Kasnocken, goulash. Mon-Sat 8-23, Sun 10-18. 200 m from the flat."
"MARKET — Meidlinger Markt (stalls)","48.18350","16.33310","Market","Beds & Breakfast","","Stalls Mon-Fri 6-21, Sat 6-18, CLOSED SUNDAY. Cafés stay open Sunday 10-18."
"Etele P2 / Őrmező P+R (M4 Kelenföld) — MAIN CAR PARK","47.46340","19.02350","Parking","Parking","Thu 15:30","FIRST CHOICE: M4 direct to Fővám tér in 12 min, and Saturday's M1 drive starts here. Surface, guarded, 0-24. ~6,300 HUF for 40 h. CASHLESS. Reach it via the M0 southern ring."
"Örs vezér tere P+R (M2) — BACKUP","47.50360","19.13850","Parking","Parking","","Easiest off the M3 but one change: M2 to Keleti, M4 to Fővám tér, ~25 min. Best base for Thursday's fireworks."
"Pillangó utca P+R (M2) — second backup","47.50240","19.11890","Parking","Parking","","Same tariff, one stop closer in. Use if Örs is full."
"KÖKI Terminál P+R (M3) — AVOID height limit","47.45720","19.14670","Parking","Parking","","Three-level garage in a mall. Not for a 1.9 m car."
"VIENNA — free street parking by Mandlgasse","48.18500","16.33380","Parking","Parking","Sat 10:45","Free Sat-Sun citywide. NOT Meidlinger Hauptstraße/Niederhofstraße/Pohlgasse/Rauchgasse/Tivoligasse/Reschgasse before 12:00 Sat. Never in resident-only bays. Move before 09:00 Monday."
"Vienna fallback — Bahnhof Wien Meidling garage","48.17930","16.33170","Parking","Parking","","630 m from the flat if the street fails."
"Vienna P+R Erdberg (U3) — last resort","48.18683","16.41353","Parking","Parking","","€4.60/24h, open decks. Wrong side of town from the flat."
"THU 1 — Liberty Bridge (Pest head)","47.48630","19.05550","Sight","Thu Aug 20","17:30","300 m / 4 min from the hotel door. Cross on foot to Buda then turn RIGHT (north) onto the lower quay. Do NOT head north on the Pest side — that was the old wrong route."
"THU 2 — Buda lower quay (car-free promenade)","47.48620","19.04960","Sight","Thu Aug 20","17:40","Closed to cars Aug 15-22 so it is a riverside promenade on your dates. 900 m / 11 min north to Döbrentei tér. Gellért Hill above, Pest skyline opposite."
"THU 3 — Döbrentei tér","47.49170","19.04550","Sight","Thu Aug 20","17:55","On the quay. 315 m / 4 min more to Várkert Bazár. Also part of the food-street area (Döbrentei utca)."
